	manual_annotation
13821-MTL_WM	Microglia
13839-MTL_WM	Oligodendrocytes
13859-MTL_WM	Oligodendrocytes
13952-MTL_WM	Oligodendrocytes
13956-MTL_WM	Oligodendrocytes
13968-MTL_WM	Oligodendrocytes
14012-MTL_WM	Astrocytes
14032-MTL_WM	Oligodendrocytes
14033-MTL_WM	Oligodendrocytes
14094-MTL_WM	OPCs
14097-MTL_WM	Oligodendrocytes
14113-MTL_WM	Oligodendrocytes
14128-MTL_WM	Astrocytes
14153-MTL_WM	Microglia
14190-MTL_WM	Oligodendrocytes
14217-MTL_WM	Oligodendrocytes
14227-MTL_WM	OPCs
14239-MTL_WM	Astrocytes
14255-MTL_WM	Oligodendrocytes
14297-MTL_WM	Oligodendrocytes
14320-MTL_WM	Oligodendrocytes
14345-MTL_WM	Astrocytes
14350-MTL_WM	Oligodendrocytes
14385-MTL_WM	Oligodendrocytes
14423-MTL_WM	Astrocytes
14431-MTL_WM	Microglia
14456-MTL_WM	Oligodendrocytes
14473-MTL_WM	Oligodendrocytes
14552-MTL_WM	Oligodendrocytes
14706-MTL_WM	Oligodendrocytes
14724-MTL_WM	OPCs
14740-MTL_WM	OPCs
14758-MTL_WM	Astrocytes
14802-MTL_WM	OPCs
14831-MTL_WM	Oligodendrocytes
14922-MTL_WM	Microglia
14924-MTL_WM	Astrocytes
14963-MTL_WM	Oligodendrocytes
14969-MTL_WM	Astrocytes
14981-MTL_WM	OPCs
14988-MTL_WM	Oligodendrocytes
14989-MTL_WM	Oligodendrocytes
15009-MTL_WM	Astrocytes
15010-MTL_WM	Astrocytes
15013-MTL_WM	Microglia
15017-MTL_WM	Microglia
15050-MTL_WM	Oligodendrocytes
15063-MTL_WM	Oligodendrocytes
15096-MTL_WM	Oligodendrocytes
15106-MTL_WM	Astrocytes
15160-MTL_WM	Oligodendrocytes
15197-MTL_WM	VLMCs
15199-MTL_WM	Astrocytes
15209-MTL_WM	Astrocytes
15221-MTL_WM	OPCs
15238-MTL_WM	Microglia
15284-MTL_WM	Oligodendrocytes
15302-MTL_WM	Oligodendrocytes
15383-MTL_WM	Astrocytes
15480-MTL_WM	Endothelial
15485-MTL_WM	Oligodendrocytes
15507-MTL_WM	Astrocytes
15522-MTL_WM	Oligodendrocytes
15531-MTL_WM	Astrocytes
15600-MTL_WM	Oligodendrocytes
15702-MTL_WM	Oligodendrocytes
15762-MTL_WM	Oligodendrocytes
15795-MTL_WM	Oligodendrocytes
15821-MTL_WM	Oligodendrocytes
15852-MTL_WM	Oligodendrocytes
15949-MTL_WM	Oligodendrocytes
15956-MTL_WM	Oligodendrocytes
15987-MTL_WM	Oligodendrocytes
15997-MTL_WM	Oligodendrocytes
16022-MTL_WM	Oligodendrocytes
16077-MTL_WM	Astrocytes
16078-MTL_WM	Oligodendrocytes
16096-MTL_WM	Oligodendrocytes
16109-MTL_WM	Oligodendrocytes
16142-MTL_WM	Astrocytes
16147-MTL_WM	Oligodendrocytes
16156-MTL_WM	Oligodendrocytes
16182-MTL_WM	Oligodendrocytes
16220-MTL_WM	Oligodendrocytes
16224-MTL_WM	Oligodendrocytes
16236-MTL_WM	Microglia
16338-MTL_WM	Oligodendrocytes
16394-MTL_WM	Exc. Neurons
16422-MTL_WM	Oligodendrocytes
16426-MTL_WM	Oligodendrocytes
16439-MTL_WM	Astrocytes
16480-MTL_WM	Oligodendrocytes
16483-MTL_WM	Oligodendrocytes
16487-MTL_WM	Astrocytes
16491-MTL_WM	Astrocytes
16510-MTL_WM	Inh. Neurons
16522-MTL_WM	Oligodendrocytes
16538-MTL_WM	Oligodendrocytes
16539-MTL_WM	Microglia
16545-MTL_WM	Astrocytes
16552-MTL_WM	Oligodendrocytes
16557-MTL_WM	Oligodendrocytes
16626-MTL_WM	Astrocytes
16650-MTL_WM	Microglia
16702-MTL_WM	VLMCs
16751-MTL_WM	Astrocytes
16772-MTL_WM	Oligodendrocytes
16775-MTL_WM	Oligodendrocytes
16806-MTL_WM	Oligodendrocytes
16812-MTL_WM	OPCs
16819-MTL_WM	Astrocytes
16843-MTL_WM	Oligodendrocytes
16848-MTL_WM	Oligodendrocytes
16865-MTL_WM	Oligodendrocytes
16901-MTL_WM	Oligodendrocytes
16956-MTL_WM	Oligodendrocytes
16970-MTL_WM	Oligodendrocytes
17007-MTL_WM	Oligodendrocytes
17014-MTL_WM	Oligodendrocytes
17033-MTL_WM	Oligodendrocytes
17063-MTL_WM	Oligodendrocytes
17105-MTL_WM	Oligodendrocytes
17107-MTL_WM	Astrocytes
17141-MTL_WM	Astrocytes
17150-MTL_WM	Oligodendrocytes
17153-MTL_WM	Oligodendrocytes
17180-MTL_WM	Oligodendrocytes
17208-MTL_WM	Microglia
17261-MTL_WM	Oligodendrocytes
17267-MTL_WM	Astrocytes
17281-MTL_WM	Oligodendrocytes
17351-MTL_WM	Oligodendrocytes
17374-MTL_WM	Oligodendrocytes
17448-MTL_WM	Oligodendrocytes
17483-MTL_WM	Astrocytes
17484-MTL_WM	Oligodendrocytes
17502-MTL_WM	Oligodendrocytes
17511-MTL_WM	Astrocytes
17513-MTL_WM	Oligodendrocytes
17523-MTL_WM	Oligodendrocytes
